"romaji","hiragana","definition","priority","type","japanese"
"bōen","ぼうえん","long-distance viewing","5350","Unknown","望遠"
"yobō","よぼう","prevention or protection, especially from disease or natural disasters","5351","Noun","予防"
"Kentakkī","ケンタッキー","Kentucky","5352","Unknown","ケンタッキー"
"inshoku","いんしょく","eating and drinking","5353","Unknown","飲食"
"kaitei","かいてい","seabed","5354","Unknown","海底"
"sutoa","ストア","store, shop","5355","Unknown","ストア"
"dāto","ダート","dirt, especially in the context of car or horse race tracks","5356","Noun","ダート"
"Mirano","ミラノ","Milan","5357","Proper noun","ミラノ"
"sōgaku","そうがく","total amount, whole sum, the total","5358","Unknown","総額"
"shukka","しゅっか","shipping","5359","Unknown","出荷"
"yakusha","やくしゃ","actor/actress; performer","5360","Noun","役者"
"kurāku","クラーク","kulak","5361","Noun","クラーク"
"dokusai","どくさい","autocracy, dictatorship (a government led by a dictator)","5362","Noun","独裁"
"seitai","せいたい","ecology, mode of life of living creatures","5363","Unknown","生態"
"Kanzasu","カンザス","Kansas","5364","Unknown","カンザス"
"tokka","とっか","specialization","5365","Unknown","特化"
"kiku","きく","Alternative form of 効く","5366","Unknown","利く"
"kikin","ききん","fund","5367","Unknown","基金"
"Fushimi","ふしみ","a place name, such as Fushimi Ward in Kyoto","5368","Unknown","伏見"
"shokumu","しょくむ","duties at work, function at one's job, line of duty","5369","Unknown","職務"
"kakko","かっこ","a parenthesis; a bracket (either of a pair of brackets ( ))","5370","Noun","括弧"
"datsu-","だつ","de- (removal or reversal of something)","5371","Prefix","脱"
"gi","ぎ","ant","5372","Affix","蟻"
"iden","いでん","genetic; genetics","5373","Unknown","遺伝"
"rūmu","ルーム","room (section of a building contained by walls)","5374","Noun","ルーム"
"chiteki","ちてき","intelligent","5375","Adjectival noun","知的"
"imada","いまだ","not yet, still not, never yet","5376","Unknown","いまだ"
"saikon","さいこん","remarriage","5377","Unknown","再婚"
"Error","","","5378","",""
"jōjō","じょうじょう","listing a company on a stock exchange","5379","Unknown","上場"
"shuken","しゅけん","the state of making laws and controlling resources without the coercion of other nations.)","5380","Unknown","主権"
"yasui","やすい","inexpensive","5381","Unknown","安い"
"ōbā","オーバー","exaggerated","5382","Adjectival noun","オーバー"
"sandē","サンデー","Sunday (day of the week)","5383","Noun","サンデー"
"shinkō","しんこう","intimacy","5384","Unknown","親交"
"kojima","こじま","an isle, an islet, a small island","5385","Noun","小島"
"tsuku","つく","arrive, reach a destination","5386","Verb","着く"
"bokushi","ぼくし","clergyman, pastor, minister, etc.","5387","Unknown","牧師"
"sueru","すえる","place, put","5388","Unknown","据える"
"Error","","","5389","",""
"ōkami","おおかみ","wolf; Canis lupus","5390","Noun","狼"
"Kan","かん","A surname​.","5391","Proper noun","菅"
"sai","さい","loan, debt","5392","Noun","債"
"shokan","しょかん","jurisdiction","5393","Unknown","所管"
"tenbō","てんぼう","view, a vista","5394","Unknown","展望"
"shutchō","しゅっちょう","business trip","5395","Unknown","出張"
"tadoru","たどる","follow, pursue (a road, course)","5396","Unknown","辿る"
"ryūnyū","りゅうにゅう","afflux","5397","Unknown","流入"
"kahei","かへい","currency, money","5398","Noun","貨幣"
"unmei","うんめい","fate; destiny; doom","5399","Noun","運命"
"jikka","じっか","home, hometown; (one's parents') home","5400","Unknown","実家"
"fukufukushi","ふくふくし","(anatomy) lung","5401","Noun","肺"
"hatan","はたん","bankruptcy, ruination","5402","Noun","破綻"
"shōmei","しょうめい","lighting","5403","Noun","照明"
"Ōtani","おおたに","A surname​.","5404","Unknown","大谷"
"shukkō","しゅっこう","sailing, a ship casting off","5405","Unknown","出航"
"mugen","むげん","unlimited, infinite, endless","5406","Unknown","無限"
"mame","まめ","the pulses","5407","Noun","豆"
"Hakaru","はかる","A male given name","5408","Proper noun","靖"
"tekitai","てきたい","enmity, hostility, enemyship","5409","Unknown","敵対"
"Tenjin","てんじん","the Japanese gods of the heavens","5410","Noun","天神"
"kaisatsuguchi","かいさつぐち","wicket, ticket gate, ticket barrier","5411","Noun","改札口"
"yakubutsu","やくぶつ","drug","5412","Unknown","薬物"
"kasu","かす","lend","5413","Unknown","貸す"
"kōtaishi","こうたいし","crown prince","5414","Unknown","皇太子"
"Hachiōji","はちおうじ","a place name, such as that of Hachiōji City in Tokyo Metropolis","5415","Unknown","八王子"
"sōshitsu","そうしつ","forfeiture, loss","5416","Unknown","喪失"
"Antonio","アントニオ","A male given name","5417","Proper noun","アントニオ"
"ōto","オート","Abbreviation of オートバイ.","5418","Unknown","オート"
"sendai","せんだい","the previous head of a family","5419","Noun","先代"
"haika","はいか","being under someone's control","5420","Noun","配下"
"jūsō","じゅうそう","ensemble","5421","Unknown","重奏"
"nimotsu","にもつ","baggage, luggage","5422","Noun","荷物"
"Chūtō","ちゅうとう","the Middle East (region comprising southwest Asia and northeast Africa)","5423","Proper noun","中東"
"ku","く","","5424","Noun","句"
"basutei","バス停","bus stop","5425","Noun","バス停"
"nashi","なし","a pear tree","5426","Noun","梨"
"chokkatsu","ちょっかつ","direct control","5427","Unknown","直轄"
"yōken","ようけん","important matter","5428","Noun","要件"
"Erikku","エリック","A male given name","5429","Proper noun","エリック"
"suzume","すずめ","a Eurasian tree sparrow","5430","Noun","雀"
"zanzon","ざんぞん","survival, residue","5431","Unknown","残存"
"sausu","サウス","south","5432","Unknown","サウス"
"komyunikēshon","コミュニケーション","communication","5433","Noun","コミュニケーション"
"geka","げか","surgery (medical specialty)","5434","Unknown","外科"
"tsuru","つる","to fish, catch","5435","Unknown","釣る"
"hyōdai","ひょうだい","title, heading","5436","Unknown","表題"
"shūkō","しゅうこう","going into commission, especially of ships","5437","Unknown","就航"
"tōbatsu","とうばつ","subjugation","5438","Noun","討伐"
"funabashi","ふなばし","the bridge on a ship","5439","Unknown","船橋"
"ekishō","えきしょう","liquid crystal","5440","Unknown","液晶"
"koto","こと","Japanese zither/harp; koto","5441","Unknown","琴"
"Error","","","5442","",""
"saiken","さいけん","credit (a demand of payment)","5443","Unknown","債権"
"Takagi","たかぎ","A surname​.","5444","Unknown","高木"
"esa","えさ","animal food, feed","5445","Noun","餌"
"sēbu","セーブ","saving, conservation, avoiding waste","5446","Unknown","セーブ"
"sōko","そうこ","warehouse","5447","Unknown","倉庫"
"tannaru","たんなる","mere, sheer, just, simple, pure","5448","Unknown","単なる"
"Harada","はらだ","A surname​.","5449","Unknown","原田"
"shiatā","シアター","theater (movie theater)","5450","Unknown","シアター"
"seimei","せいめい","declaration, official statement","5451","Unknown","声明"
"kakei","かけい","family tree, parentage, family line","5452","Unknown","家系"
"sebun","セブン","(informal) seven","5453","Noun","セブン"
"Busshu","ブッシュ","Bush","5454","Unknown","ブッシュ"
"yū","ユー","u (name of the letter U, u)","5455","Noun","ユー"
"Error","","","5456","",""
"dan'atsu","だんあつ","oppression","5457","Noun","弾圧"
"shatoru","シャトル","shuttle","5458","Unknown","シャトル"
"tatsu","たつ","(of time) to pass","5459","Unknown","経つ"
"jokyo","じょきょ","removal, elimination, disposal, rejection, relief (of pain, worry, pressure)","5460","Unknown","除去"
"Error","","","5461","",""
"futoji","ふとじ","boldface, bold type","5462","Unknown","太字"
"suzu","すず","bell","5463","Noun","鈴"
"shinden","しんでん","a shrine, a temple, a sacred place","5464","Noun","神殿"
"yūsū","ゆうすう","foremost, prominent, eminent","5465","Adjectival noun","有数"
"Arima","ありま","A surname​.","5466","Unknown","有馬"
"manzoku","まんぞく","happy, satisfying, sufficient, competent","5467","Unknown","満足"
"jūtai","じゅうたい","congestion, traffic jam","5468","Unknown","渋滞"
"iō","いおう","sulfur (element)","5469","Noun","硫黄"
"rendō","れんどう","linkage, working together, connection","5470","Unknown","連動"
"denji","でんじ","(physics) electromagnetic","5471","Unknown","電磁"
"irei","いれい","exceptional, unprecedented","5472","Unknown","異例"
"kyūkyo","きゅうきょ","in a hurry","5473","Adverb","急遽"
"Nōberu","ノーベル","Nobel","5474","Unknown","ノーベル"
"kōbo","こうぼ","public appeal","5475","Noun","公募"
"onkyō","おんきょう","sound","5476","Noun","音響"
"mitsu","みつ","honey","5477","Noun","蜜"
"baburu","バブル","bubble (period of intense speculation in a market)","5478","Noun","バブル"
"makkusu","マックス","Abbreviation of マキシマム.","5479","Unknown","マックス"
"yokozuna","よこづな","(sumo) yokozuna; denoting either the highest rank in sumo-wrestling or one of the two persons holding it","5480","Unknown","横綱"
"kisou","きそう","compete with","5481","Unknown","競う"
"nankyoku","なんきょく","Antarctica","5482","Noun","南極"
"arakajime","あらかじめ","in advance, beforehand","5483","Unknown","予め"
"Sakai","さかい","A surname​.","5484","Unknown","酒井"
"junzuru","じゅんずる","correspond to, be proportionate to","5485","Verb","準ずる"
"kansa","かんさ","audit (examination in general), inspection","5486","Noun","監査"
"pen","ペン","a pen (writing instrument)","5487","Noun","ペン"
"keshō","けしょう","makeup","5488","Unknown","化粧"
"Yoshikawa","よしかわ","A surname​.","5489","Unknown","吉川"
"sasageru","ささげる","give, offer, devote, dedicate, sacrifice","5490","Unknown","捧げる"
"kōgakubu","こうがくぶ","engineering department of a school","5491","Unknown","工学部"
"seiatsu","せいあつ","suppression, mastery, control","5492","Noun","制圧"
"buttai","ぶったい","an object, a body","5493","Unknown","物体"
"mokugeki","もくげき","(act of) seeing an event, witnessing","5494","Unknown","目撃"
"migoto","みごと","splendid; magnificent","5495","Adjectival noun","見事"
"nōto","ノート","","5496","Noun","ノート"
"kishi","きし","professional shogi player; professional go player","5497","Unknown","棋士"
"kanshō","かんしょう","interference","5498","Unknown","干渉"
"ninshō","にんしょう","certification - act or process of certifying","5499","Noun","認証"
"jūdai","じゅうだい","important, significant","5500","Unknown","重大"
"hokujō","ほくじょう","going north","5501","Unknown","北上"
"moru","もる","leak","5502","Verb","漏る"
"jei","ジェイ","Alternative form of ジェー (jē).","5503","Noun","ジェイ"
"Ginza","ぎんざ","Ginza, a district in Tokyo, Japan.","5504","Unknown","銀座"
"Bahha","バッハ","Bach (German surname)","5505","Proper noun","バッハ"
"hiruma","ひるま","daytime","5506","Noun","昼間"
"Arakawa","あらかわ","a place name, often of rivers","5507","Unknown","荒川"
"fumikiri","ふみきり","railroad crossing","5508","Noun","踏切"
"nōson","のうそん","farm village, rural village","5509","Noun","農村"
"monitā","モニター","(computing) monitor","5510","Unknown","モニター"
"yūsei","ゆうせい","postal system","5511","Noun","郵政"
"shōkō","しょうこう","commerce and industry","5512","Unknown","商工"
"toru","とる","take a photo","5513","Unknown","撮る"
"tsutsumi","つつみ","dike","5514","Noun","堤"
"tataku","たたく","hit; strike; beat; paddle (spank with a paddle)","5515","Verb","叩く"
"hikiwatasu","ひきわたす","hand over, turn over (a criminal to the police), deliver up","5516","Unknown","引き渡す"
"barubu","バルブ","valve","5517","Noun","バルブ"
"chō","ちょう","a butterfly (insect)","5518","Noun","蝶"
"kōtō","こうとう","nice pitching","5519","Unknown","好投"
"saiteki","さいてき","optimal, most appropriate, best suited","5520","Unknown","最適"
"akairo","あかいろ","(color) Red.","5521","Noun","赤色"
